player_id,player_name,nationality,position,team_id
38285,Ayase Ueda,Japan,Forward,778
38312,Eugenio Lamanna,Italy,Goalkeeper,233
38316,Alessandro Confente,Italy,,231
38317,Lisa Weiss,Germany,Goalkeeper,2647
38326,Ferdinando Coppola,Italy,Goalkeeper,226
38329,Leonardo Marson,Italy,,2256
38333,Simone Pontisso,Italy,,230
38336,Simon Laner,Italy,,226
38339,Denil Omar Maldonado Munguia,Honduras,,919
38345,Ramiz Larbi Zerrouki,Algeria,Midfielder,4898
38346,Cazim Suljic,Bosnia and Herzegovina,,135
38389,Alberto Gilardino,Italy,Forward,243
38390,Kakhaber Kaladze,Georgia,Defender,243
38392,Ivan Ramiro Cordoba,Colombia,,238
38402,Bobby Zamora,England,Forward,38
38403,Shaka Hislop,Trinidad and Tobago,Goalkeeper,105
38404,Paul Konchesky,England,Defender,38
38411,Anderson Luis de Abreu Oliveira,Brazil,Midfielder,39
38412,Kolo Habib Toure,Cote d'Ivoire,Midfielder,24
38413,Vassiriki Abou Diaby,France,Midfielder,147
38418,Jonathan Woodgate,England,Defender,37
38427,Manuel Eduardo Berizzo,Argentina,Defender,1324
38429,Luis Antonio Correa da Costa,Brazil,Forward,781
38454,Danny Murphy,England,Midfielder,24
38464,Brad Friedel,United States of America,Goalkeeper,98
38465,Claudio Reyna,United States of America,Midfielder,36
38466,Brian McBride,United States of America,Midfielder,55
38520,Sebastian Kehl,Germany,,180
38522,Dietmar Hamann,Germany,Midfielder,24
38523,Jin-Hyeon Kim,Korea (South),,791
38524,Hiroshi Kiyotake,Japan,,213
38551,Shaun Wright-Phillips,England,Midfielder,36
38552,Joey Barton,England,Midfielder,36
38556,Leslie Ferdinand,England,Forward,22
38557,David Batty,England,Midfielder,101
38558,Steve Watson,England,Midfielder,29
38559,Peter Beardsley,England,Forward,768
38566,Lee Clark,England,Midfielder,55
38569,Steve Howey,England,Defender,22
38570,John Barnes,England,Midfielder,768
38603,Gerd Kische,Germany,Defender,2721
38604,Konrad Weise,Germany,Defender,2721
38605,Reinhard Lauck,Germany,Midfielder,2721
38606,Jurgen Croy,Germany,Goalkeeper,2721
38607,Lothar Kurbjuweit,Germany,Defender,2721
38608,Jurgen Grabowski,Germany,Defender,770
38609,Siegmar Watzlich,Germany,Defender,2721
38610,Paul Breitner,Germany,Defender,770
38611,Berti Vogts,Germany,Midfielder,770
38612,Gerhard Muller,Germany,Forward,770
38613,Martin Hoffmann,Germany,Forward,2721
38614,Heinz Flohe,Germany,Midfielder,770
38615,Erich Hamann,Germany,Midfielder,2721
38616,Sepp Maier,Germany,Goalkeeper,770
38617,Georg Schwarzenbeck,Germany,Defender,770
38618,Bernhard Cullmann,Germany,Midfielder,770
38619,Bernd Bransch,Germany,Defender,2721
38620,Jurgen Sparwasser,Germany,Midfielder,2721
38621,Harald Irmscher,Germany,Midfielder,2721
38622,Hans-Jurgen Kreische,Germany,Midfielder,2721
38623,Wolfgang Overath,Germany,Midfielder,770
38624,Gunter Netzer,Germany,Forward,770
38625,Franz Beckenbauer,Germany,Defender,770
38626,Ulrich Hoeness,Germany,Forward,770
38627,Horst-Dieter Hottges,Germany,Defender,770
38630,Carlos Caetano Bledorn Verri,Brazil,Midfielder,781
38631,Claudio Andre Mergen Taffarel,Brazil,Goalkeeper,781
38632,Aldair Nascimento dos Santos,Brazil,,781
38634,Jose Roberto Gama de Oliveira,Brazil,,781
38640,Neri Alberto Pumpido Barrinat,Argentina,Goalkeeper,779
38641,Diego Armando Maradona,Argentina,Forward,217
38642,Jose Luis Brown,Argentina,Defender,779
38643,Jose Luis Cuciuffo,Argentina,Defender,779
