match_id,competition_id,match_date,home_team_id,away_team_id,home_goals,away_goals,season
3928994,131,2024-03-30,1076,1086,4,0,2023/2024
3928995,131,2024-03-30,3155,6757,2,0,2023/2024
3928996,131,2024-04-14,3150,3155,3,2,2023/2024
3928997,131,2024-04-15,3152,1076,2,1,2023/2024
3928998,131,2024-04-13,3154,3144,2,1,2023/2024
3928999,131,2024-04-14,6755,11558,1,2,2023/2024
3929000,131,2024-04-20,1086,3152,0,0,2023/2024
3929001,131,2024-04-21,6757,3150,1,3,2023/2024
3929002,131,2024-04-21,3155,6755,1,1,2023/2024
3929003,131,2024-04-20,1076,3154,2,1,2023/2024
3929004,131,2024-04-26,1076,3144,0,2,2023/2024
3929005,131,2024-04-27,1086,3154,4,4,2023/2024
3929006,131,2024-04-27,6757,6755,2,2,2023/2024
3929007,131,2024-04-27,3155,11558,1,1,2023/2024
3929008,131,2024-05-01,3154,3152,5,6,2023/2024
3929009,131,2024-05-01,6755,3150,2,2,2023/2024
3929010,131,2024-05-01,11558,6757,3,1,2023/2024
3929011,131,2024-05-01,3144,1086,2,2,2023/2024
3929012,131,2024-05-06,1086,1076,0,2,2023/2024
3929013,131,2024-05-05,3150,11558,1,0,2023/2024
3929014,131,2024-05-05,6757,3155,2,0,2023/2024
3929015,131,2024-05-05,3152,3144,4,3,2023/2024
3929016,131,2024-05-12,3155,3150,1,1,2023/2024
3929017,131,2024-05-13,1076,3152,3,1,2023/2024
3929018,131,2024-05-12,11558,6755,2,0,2023/2024
3929019,131,2024-05-12,3144,3154,2,4,2023/2024
3929020,131,2024-05-19,3152,1086,5,0,2023/2024
3929021,131,2024-05-19,6755,3155,3,1,2023/2024
3929022,131,2024-05-18,3150,6757,3,1,2023/2024
3929023,131,2024-05-18,3154,1076,2,3,2023/2024
3930158,55,2024-06-14,770,942,5,1,2024
3930159,55,2024-06-15,916,773,1,3,2024
3930160,55,2024-06-15,772,785,3,0,2024
3930161,55,2024-06-15,914,906,2,1,2024
