team_id,team_name,country,stadium
3274,Levante UD Femenino,Spain,Ciudad Deportiva de Bunol - Campo 1
3275,SD Eibar,Spain,Estadio Municipal de Ipurua
3277,Valencia CF,Spain,Estadio Antonio Puchades
3278,Madrid CFF,Spain,Estadio Fernando Torres
3279,Real Betis Balompie,Spain,Ciudad Deportiva Luis de Sol
3280,CD Sporting de Huelva,Spain,Ciudad Deportiva Decano del Futbol Espanol
3281,Sevilla FC,Spain,Estadio Jesus Navas
3282,Real Madrid CF W,Spain,Estadio Alfredo Di Stefano
3374,Cote d'Ivoire,Cote d'Ivoire,Stade Olympique Alassane Ouattara
3562,Chile,Chile,MetLife Stadium
3563,Venezuela,Venezuela (Bolivarian Republic),SoFi Stadium
3564,Bolivia,Bolivia,Inter&Co Stadium
3565,Ecuador,Ecuador,Allegiant Stadium
3566,Qatar,Qatar,Al Thumama Stadium
3567,Paraguay,Paraguay,Allegiant Stadium
4881,Congo DR,"Congo, (Kinshasa)",Stade Laurent Pokou
4885,Ghana,Ghana,Stade Felix Houphouet-Boigny
4892,Guinea,Guinea,Stade Charles Konan Banny de Yamoussoukro
4894,Guinea-Bissau,Guinea-Bissau,Stade Felix Houphouet-Boigny
4898,Algeria,Algeria,Stade de Bouake
4901,Angola,Angola,Stade Charles Konan Banny de Yamoussoukro
4921,Burkina Faso,Burkina Faso,Stade de Bouake
4924,Cape Verde Islands,Cape Verde,Stade Felix Houphouet-Boigny
4930,Mali,Mali,Stade Amadou Gon Coulibaly
4932,Mauritania,Mauritania,Stade de Bouake
4934,Gambia,Gambia,Stade de Bouake
4953,Tanzania,"Tanzania, United Republic of",Stade Amadou Gon Coulibaly
4963,Zambia,Zambia,Stade Laurent Pokou
4976,South Africa,South Africa,Stade Amadou Gon Coulibaly
4978,Mozambique,Mozambique,Stade Olympique Alassane Ouattara
4980,Namibia,Namibia,Stade Laurent Pokou
4992,Equatorial Guinea,Equatorial Guinea,Stade Olympique Alassane Ouattara
5105,Racing Louisville FC,United States of America,Lynn Family Stadium
5106,KC Current,United States of America,Children''s Mercy Park
6045,Zambia W,Zambia,FMG Stadium Waikato
6602,Koln,Germany,Franz-Kremer-Stadion
6604,Villarreal,Spain,Ciudad Deportiva del Villarreal
6755,Pomigliano,Italy,Stadio Amerigo Liguori
6757,Sampdoria W,Italy,Stadio La Sciorba
7282,Mohun Bagan Super Giant,India,Pandit Jawaharlal Nehru Stadium
7283,Kerala Blasters,India,Tilak Maidan Stadium
7284,Bengaluru,India,GMC Athletic Stadium
7285,NorthEast United,India,Pandit Jawaharlal Nehru Stadium
7286,East Bengal,India,Tilak Maidan Stadium
7287,Mumbai City,India,Pandit Jawaharlal Nehru Stadium
7288,Goa,India,GMC Athletic Stadium
7289,SC Delhi,India,GMC Athletic Stadium
7290,Chennaiyin,India,Tilak Maidan Stadium
7291,Odisha,India,Tilak Maidan Stadium
8070,Charlotte,United States of America,Bank of America Stadium
9100,Angel City,United States of America,BMO Stadium
9101,San Diego Wave,United States of America,Snapdragon Stadium
9763,Argentina U20,Argentina,Japan National Stadium (Tokyo (Tokyo))
